group,feature_count,features,importance_mean,importance_std,importance_min,importance_max
Delinquency behaviour,5,"max_delinquency, delinquent_months, severe_delinquent_months, pay_0, pay_3",0.18701754422744088,0.006092258027277015,0.17359202950587094,0.19818229786435293
Payment behaviour,2,"mean_payment_amount, payment_amount_std",0.028171570685128548,0.0032420955222111606,0.01755027478317872,0.03351598457750282
Credit capacity / balance,2,"limit_bal, bill_amt2",0.025126722464555048,0.0033597785436835213,0.01761735996894731,0.03273281341239298
Socio-demographic,1,education,0.0011380969513170758,0.00115201464316524,-0.0008678339596497331,0.004707170745182676
