model,feature_count,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std
full_expanded_36,36,0.8220833333333333,0.0013819269959814049,0.7860904578131584,0.0038398317148963927,0.5623357759517761,0.005748704184557739,0.679581636248618,0.008498156461810768,0.3705021911958125,0.0046528042490928965,0.4795108421732063,0.0038209058499373678,0.1333257633615753,0.0008211593221225086
full_raw_23,23,0.8215833333333334,0.0019746659351787803,0.78296965075303,0.005188807647672869,0.5638452123648191,0.005955922588914683,0.6768655776943853,0.009649906973381295,0.3703145772651676,0.005101485974049597,0.47868887375591757,0.005472526015343439,0.13344519963377952,0.0010804489507175471
expanded_top_10,10,0.820625,0.0023199018178458584,0.7793082501617803,0.007590324022909336,0.5540833466812696,0.008644075946807583,0.6796745575545011,0.01830069233744555,0.35882451086368083,0.006265646157606921,0.4694839279075172,0.0019877964175876515,0.13442930828482444,0.0014560334256307486
raw_top_10,10,0.8206666666666667,0.0030000000000000165,0.7761700647279582,0.004617377379702734,0.5493237121397427,0.008080837624075238,0.6851358244249296,0.022465185598473134,0.3516651845698636,0.008444992693400825,0.4645106967981788,0.006025834968948829,0.13516205464905157,0.0009195346609840058
expanded_top_6,6,0.8074999999999999,0.006607813136314019,0.7628475154360917,0.00744483099552161,0.5183930954148999,0.018777621680520853,0.6280308430640311,0.023600509569057345,0.31701784373552294,0.028286456907747403,0.4209466002088808,0.029198973886012003,0.13974538988179036,0.0031170750217976865
raw_top_6,6,0.8200416666666666,0.0026660155455077135,0.7572915988628374,0.007024183279334297,0.5355885520152333,0.007752405686809934,0.7035222441630932,0.01956001117707639,0.3230365767291277,0.0060839489478264515,0.44262891127344295,0.005897289145860782,0.13775860968657108,0.0011484188463962112
